n,k_typ,algorytm,avg_porownania,avg_przestawienia
100,1,SELECT,647,803
100,1,RAND_SELECT,196,222
100,2,SELECT,625,771
100,2,RAND_SELECT,286,315
100,3,SELECT,609,749
100,3,RAND_SELECT,295,325
100,4,SELECT,607,746
100,4,RAND_SELECT,292,315
100,5,SELECT,606,745
100,5,RAND_SELECT,205,208
200,1,SELECT,1340,1594
200,1,RAND_SELECT,383,402
200,2,SELECT,1330,1581
200,2,RAND_SELECT,530,560
200,3,SELECT,1299,1539
200,3,RAND_SELECT,672,667
200,4,SELECT,1304,1547
200,4,RAND_SELECT,601,678
200,5,SELECT,1304,1552
200,5,RAND_SELECT,402,410
300,1,SELECT,2063,2422
300,1,RAND_SELECT,649,735
300,2,SELECT,2035,2391
300,2,RAND_SELECT,948,1015
300,3,SELECT,1990,2343
300,3,RAND_SELECT,955,1016
300,4,SELECT,2011,2368
300,4,RAND_SELECT,871,970
300,5,SELECT,2015,2372
300,5,RAND_SELECT,583,610
400,1,SELECT,2823,3281
400,1,RAND_SELECT,721,681
400,2,SELECT,2808,3258
400,2,RAND_SELECT,1157,1150
400,3,SELECT,2741,3188
400,3,RAND_SELECT,1351,1365
400,4,SELECT,2787,3251
400,4,RAND_SELECT,1185,1258
400,5,SELECT,2761,3222
400,5,RAND_SELECT,749,810
500,1,SELECT,3568,4139
500,1,RAND_SELECT,1067,1175
500,2,SELECT,3471,4017
500,2,RAND_SELECT,1403,1444
500,3,SELECT,3479,4026
500,3,RAND_SELECT,1698,1636
500,4,SELECT,3526,4095
500,4,RAND_SELECT,1567,1636
500,5,SELECT,3489,4038
500,5,RAND_SELECT,1045,1012
600,1,SELECT,4315,4974
600,1,RAND_SELECT,1232,1306
600,2,SELECT,4309,4971
600,2,RAND_SELECT,1803,1820
600,3,SELECT,4223,4872
600,3,RAND_SELECT,2034,2067
600,4,SELECT,4308,4962
600,4,RAND_SELECT,1859,2089
600,5,SELECT,4263,4925
600,5,RAND_SELECT,1177,1211
700,1,SELECT,5017,5756
700,1,RAND_SELECT,1379,1402
700,2,SELECT,5004,5751
700,2,RAND_SELECT,2231,2282
700,3,SELECT,4893,5613
700,3,RAND_SELECT,2227,2168
700,4,SELECT,5046,5815
700,4,RAND_SELECT,2187,2370
700,5,SELECT,5046,5808
700,5,RAND_SELECT,1384,1412
800,1,SELECT,5839,6684
800,1,RAND_SELECT,1525,1493
800,2,SELECT,5781,6614
800,2,RAND_SELECT,2510,2496
800,3,SELECT,5812,6660
800,3,RAND_SELECT,2604,2628
800,4,SELECT,5722,6557
800,4,RAND_SELECT,2447,2530
800,5,SELECT,5783,6623
800,5,RAND_SELECT,1578,1612
900,1,SELECT,6582,7521
900,1,RAND_SELECT,1716,1678
900,2,SELECT,6565,7504
900,2,RAND_SELECT,2760,2610
900,3,SELECT,6590,7527
900,3,RAND_SELECT,3147,3079
900,4,SELECT,6507,7445
900,4,RAND_SELECT,2754,2812
900,5,SELECT,6465,7388
900,5,RAND_SELECT,1773,1812
1000,1,SELECT,7355,8374
1000,1,RAND_SELECT,1983,2011
1000,2,SELECT,7348,8364
1000,2,RAND_SELECT,2914,2972
1000,3,SELECT,7197,8204
1000,3,RAND_SELECT,3361,3370
1000,4,SELECT,7301,8329
1000,4,RAND_SELECT,3210,3385
1000,5,SELECT,7288,8322
1000,5,RAND_SELECT,1961,2012
1100,1,SELECT,8103,9221
1100,1,RAND_SELECT,2110,2064
1100,2,SELECT,8056,9158
1100,2,RAND_SELECT,3500,3389
1100,3,SELECT,8078,9189
1100,3,RAND_SELECT,3571,3695
1100,4,SELECT,8025,9133
1100,4,RAND_SELECT,3359,3609
1100,5,SELECT,7975,9078
1100,5,RAND_SELECT,2080,2212
1200,1,SELECT,8796,9982
1200,1,RAND_SELECT,2382,2410
1200,2,SELECT,8702,9871
1200,2,RAND_SELECT,3645,3775
1200,3,SELECT,8735,9922
1200,3,RAND_SELECT,4055,4097
1200,4,SELECT,8718,9911
1200,4,RAND_SELECT,3415,3346
1200,5,SELECT,8788,9999
1200,5,RAND_SELECT,2615,2414
1300,1,SELECT,9611,10915
1300,1,RAND_SELECT,2618,2681
1300,2,SELECT,9535,10830
1300,2,RAND_SELECT,3701,3680
1300,3,SELECT,9729,11060
1300,3,RAND_SELECT,4649,4574
1300,4,SELECT,9633,10950
1300,4,RAND_SELECT,4293,3992
1300,5,SELECT,9673,11019
1300,5,RAND_SELECT,2583,2612
1400,1,SELECT,10553,11994
1400,1,RAND_SELECT,2910,3065
1400,2,SELECT,10440,11846
1400,2,RAND_SELECT,4211,4254
1400,3,SELECT,10243,11621
1400,3,RAND_SELECT,4633,4952
1400,4,SELECT,10414,11836
1400,4,RAND_SELECT,4288,4419
1400,5,SELECT,10375,11806
1400,5,RAND_SELECT,2947,2813
1500,1,SELECT,11235,12734
1500,1,RAND_SELECT,2873,2792
1500,2,SELECT,11104,12575
1500,2,RAND_SELECT,4701,4986
1500,3,SELECT,10940,12402
1500,3,RAND_SELECT,5352,5255
1500,4,SELECT,11137,12628
1500,4,RAND_SELECT,4339,4595
1500,5,SELECT,11215,12738
1500,5,RAND_SELECT,3358,3014
1600,1,SELECT,11916,13467
1600,1,RAND_SELECT,3147,3142
1600,2,SELECT,11961,13524
1600,2,RAND_SELECT,4852,4705
1600,3,SELECT,11938,13503
1600,3,RAND_SELECT,5452,5479
1600,4,SELECT,11913,13478
1600,4,RAND_SELECT,4694,4945
1600,5,SELECT,11940,13516
1600,5,RAND_SELECT,3055,3214
1700,1,SELECT,12788,14449
1700,1,RAND_SELECT,3522,3694
1700,2,SELECT,12665,14306
1700,2,RAND_SELECT,5431,5760
1700,3,SELECT,12885,14572
1700,3,RAND_SELECT,5967,6155
1700,4,SELECT,12671,14340
1700,4,RAND_SELECT,5877,6354
1700,5,SELECT,12654,14317
1700,5,RAND_SELECT,3391,3415
1800,1,SELECT,13505,15235
1800,1,RAND_SELECT,3441,3328
1800,2,SELECT,13344,15065
1800,2,RAND_SELECT,5049,4866
1800,3,SELECT,13186,14892
1800,3,RAND_SELECT,6126,6278
1800,4,SELECT,13563,15343
1800,4,RAND_SELECT,5134,5469
1800,5,SELECT,13520,15298
1800,5,RAND_SELECT,3390,3613
1900,1,SELECT,14254,16090
1900,1,RAND_SELECT,3797,3838
1900,2,SELECT,14141,15956
1900,2,RAND_SELECT,5881,6455
1900,3,SELECT,14057,15872
1900,3,RAND_SELECT,6570,6204
1900,4,SELECT,14266,16125
1900,4,RAND_SELECT,5723,5561
1900,5,SELECT,14219,16061
1900,5,RAND_SELECT,3907,3814
2000,1,SELECT,15180,17120
2000,1,RAND_SELECT,4508,5067
2000,2,SELECT,15170,17100
2000,2,RAND_SELECT,5929,5496
2000,3,SELECT,14878,16765
2000,3,RAND_SELECT,6809,7020
2000,4,SELECT,14988,16918
2000,4,RAND_SELECT,5967,5779
2000,5,SELECT,15078,17013
2000,5,RAND_SELECT,3873,4013
2100,1,SELECT,15912,17926
2100,1,RAND_SELECT,4157,4161
2100,2,SELECT,15815,17794
2100,2,RAND_SELECT,6704,6919
2100,3,SELECT,15820,17834
2100,3,RAND_SELECT,6719,6656
2100,4,SELECT,15586,17557
2100,4,RAND_SELECT,6388,6125
2100,5,SELECT,15893,17925
2100,5,RAND_SELECT,4153,4214
2200,1,SELECT,16706,18804
2200,1,RAND_SELECT,4857,5366
2200,2,SELECT,16617,18710
2200,2,RAND_SELECT,6599,6606
2200,3,SELECT,16500,18571
2200,3,RAND_SELECT,7311,7473
2200,4,SELECT,16642,18747
2200,4,RAND_SELECT,6931,7403
2200,5,SELECT,16568,18666
2200,5,RAND_SELECT,4296,4413
2300,1,SELECT,17465,19655
2300,1,RAND_SELECT,4697,4845
2300,2,SELECT,17165,19301
2300,2,RAND_SELECT,7476,8027
2300,3,SELECT,17273,19438
2300,3,RAND_SELECT,7692,8220
2300,4,SELECT,17285,19458
2300,4,RAND_SELECT,7080,7002
2300,5,SELECT,17498,19745
2300,5,RAND_SELECT,4417,4613
2400,1,SELECT,18247,20519
2400,1,RAND_SELECT,4745,4739
2400,2,SELECT,18216,20491
2400,2,RAND_SELECT,7513,7436
2400,3,SELECT,18231,20519
2400,3,RAND_SELECT,8225,8093
2400,4,SELECT,18190,20493
2400,4,RAND_SELECT,7730,7547
2400,5,SELECT,18089,20378
2400,5,RAND_SELECT,4470,4813
2500,1,SELECT,19035,21404
2500,1,RAND_SELECT,4679,4408
2500,2,SELECT,18471,20748
2500,2,RAND_SELECT,7995,8194
2500,3,SELECT,18875,21258
2500,3,RAND_SELECT,8166,8783
2500,4,SELECT,18840,21203
2500,4,RAND_SELECT,7745,7583
2500,5,SELECT,18924,21297
2500,5,RAND_SELECT,5167,5015
2600,1,SELECT,19927,22418
2600,1,RAND_SELECT,5100,5052
2600,2,SELECT,19718,22163
2600,2,RAND_SELECT,7857,7554
2600,3,SELECT,19549,21974
2600,3,RAND_SELECT,7815,7798
2600,4,SELECT,19566,22018
2600,4,RAND_SELECT,7996,8210
2600,5,SELECT,19960,22480
2600,5,RAND_SELECT,5352,5214
2700,1,SELECT,20666,23240
2700,1,RAND_SELECT,5512,5673
2700,2,SELECT,20531,23085
2700,2,RAND_SELECT,7986,7668
2700,3,SELECT,20106,22608
2700,3,RAND_SELECT,8162,7767
2700,4,SELECT,20330,22875
2700,4,RAND_SELECT,7949,7886
2700,5,SELECT,20565,23166
2700,5,RAND_SELECT,5162,5414
2800,1,SELECT,21376,24005
2800,1,RAND_SELECT,5570,5594
2800,2,SELECT,21431,24085
2800,2,RAND_SELECT,9286,10187
2800,3,SELECT,21344,24012
2800,3,RAND_SELECT,8742,8798
2800,4,SELECT,21268,23912
2800,4,RAND_SELECT,8989,9802
2800,5,SELECT,21528,24247
2800,5,RAND_SELECT,5747,5616
2900,1,SELECT,22330,25094
2900,1,RAND_SELECT,5370,4992
2900,2,SELECT,22258,25016
2900,2,RAND_SELECT,8695,8653
2900,3,SELECT,21819,24508
2900,3,RAND_SELECT,9734,9633
2900,4,SELECT,22181,24966
2900,4,RAND_SELECT,8619,9409
2900,5,SELECT,22107,24890
2900,5,RAND_SELECT,5830,5815
3000,1,SELECT,22879,25665
3000,1,RAND_SELECT,6182,6416
3000,2,SELECT,22786,25563
3000,2,RAND_SELECT,8426,8010
3000,3,SELECT,22807,25606
3000,3,RAND_SELECT,9975,9983
3000,4,SELECT,23031,25883
3000,4,RAND_SELECT,8909,9210
3000,5,SELECT,22971,25818
3000,5,RAND_SELECT,6315,6015
3100,1,SELECT,23666,26539
3100,1,RAND_SELECT,5990,5831
3100,2,SELECT,23554,26400
3100,2,RAND_SELECT,9529,9921
3100,3,SELECT,23849,26765
3100,3,RAND_SELECT,10678,9664
3100,4,SELECT,23687,26568
3100,4,RAND_SELECT,9634,9394
3100,5,SELECT,23753,26683
3100,5,RAND_SELECT,6752,6216
3200,1,SELECT,24395,27355
3200,1,RAND_SELECT,7127,7906
3200,2,SELECT,24362,27308
3200,2,RAND_SELECT,9943,10067
3200,3,SELECT,24357,27329
3200,3,RAND_SELECT,11596,11774
3200,4,SELECT,24448,27442
3200,4,RAND_SELECT,10166,10620
3200,5,SELECT,24573,27592
3200,5,RAND_SELECT,5867,6414
