n,group_size,avg_porownania,avg_przestawienia,avg_czas_us
1000,3,7866,9779,104
1000,5,7321,8351,65
1000,7,7759,8506,47
1000,9,8427,9043,45
1000,19,12449,12817,44
1000,21,13434,13789,46
2000,3,16295,19898,136
2000,5,15207,17137,75
2000,7,15822,17200,60
2000,9,17124,18245,53
2000,19,25018,25663,50
2000,21,27247,27868,52
3000,3,25927,31445,133
3000,5,22959,25792,86
3000,7,23836,25824,89
3000,9,25795,27380,104
3000,19,37593,38485,78
3000,21,41178,42018,77
4000,3,35554,42899,181
4000,5,30994,34658,115
4000,7,32592,35220,109
4000,9,35476,37618,106
4000,19,52102,53300,103
4000,21,55446,56552,105
5000,3,43889,52802,243
5000,5,38189,42642,142
5000,7,40510,43752,132
5000,9,44290,46913,129
5000,19,65081,66543,128
5000,21,69365,70703,128
6000,3,53495,64182,295
6000,5,46633,51959,191
6000,7,49172,53030,228
6000,9,53452,56529,192
6000,19,77078,78721,156
6000,21,83754,85339,157
7000,3,62390,74711,314
7000,5,54105,60257,197
7000,7,56042,60391,182
7000,9,62304,65864,181
7000,19,91586,93556,179
7000,21,96827,98650,183
8000,3,72639,86666,362
8000,5,62685,69762,229
8000,7,66095,71149,214
8000,9,70811,74807,207
8000,19,105509,107736,207
8000,21,110226,112249,203
9000,3,81867,97770,403
9000,5,70167,77986,256
9000,7,74882,80654,244
9000,9,80492,85026,241
9000,19,118449,120948,241
9000,21,126154,128405,237
10000,3,92166,109786,473
10000,5,79109,87849,289
10000,7,81905,88087,265
10000,9,86811,91642,254
10000,19,131349,134090,255
10000,21,138111,140593,256
11000,3,102075,121520,498
11000,5,85006,94404,306
11000,7,90877,97659,292
11000,9,97750,103204,279
11000,19,145144,148190,285
11000,21,153179,155918,287
12000,3,111281,132260,540
12000,5,95279,105727,339
12000,7,97990,105275,314
12000,9,107491,113397,306
12000,19,157599,160797,304
12000,21,168129,171132,313
13000,3,118448,140749,574
13000,5,102364,113564,364
13000,7,108007,116037,352
13000,9,115624,121942,333
13000,19,170421,173878,339
13000,21,180907,184107,341
14000,3,126689,150408,627
14000,5,109875,121833,395
14000,7,114129,122578,367
14000,9,125722,132571,367
14000,19,182734,186511,353
14000,21,197503,200976,366
15000,3,139188,165176,683
15000,5,118516,131312,428
15000,7,124507,133664,404
15000,9,132715,139877,378
15000,19,197161,201115,386
15000,21,210642,214330,387
16000,3,149026,176506,714
16000,5,127596,141354,450
16000,7,131758,141392,432
16000,9,142296,149998,401
16000,19,209846,214047,405
16000,21,224170,228078,413
17000,3,155529,184145,748
17000,5,134872,149412,488
17000,7,137078,147113,504
17000,9,152624,160877,452
17000,19,225484,230017,446
17000,21,237382,241512,439
18000,3,169596,200683,810
18000,5,143588,158894,538
18000,7,150513,161454,504
18000,9,161126,169861,483
18000,19,232462,237083,467
18000,21,254545,258871,475
19000,3,181073,214520,872
19000,5,152432,168749,560
19000,7,157492,169040,562
19000,9,169112,178219,490
19000,19,250546,255532,489
19000,21,266485,271046,490
20000,3,187992,222396,894
20000,5,160162,177114,561
20000,7,167043,179236,526
20000,9,180640,190330,506
20000,19,264134,269384,524
20000,21,279102,284003,520
21000,3,199622,236117,965
21000,5,166304,183954,585
21000,7,175672,188378,654
21000,9,186832,196868,719
21000,19,278092,283605,789
21000,21,293713,298730,568
22000,3,210539,248911,1034
22000,5,172379,190572,609
22000,7,181665,194794,571
22000,9,198800,209359,556
22000,19,291442,297151,558
22000,21,306576,311804,564
23000,3,217274,256435,1050
23000,5,183061,202296,639
23000,7,190521,204145,601
23000,9,205846,216740,574
23000,19,299938,305809,576
23000,21,323421,328913,594
24000,3,228995,270203,1105
24000,5,190311,210198,663
24000,7,200861,215272,629
24000,9,214680,226030,623
24000,19,317105,323369,646
24000,21,338664,344515,655
25000,3,236232,278755,1142
25000,5,198220,219015,705
25000,7,209044,224046,660
25000,9,226927,238938,639
25000,19,333105,339618,640
25000,21,344922,350764,662
26000,3,246068,290406,1250
26000,5,205432,226930,740
26000,7,216085,231707,712
26000,9,232443,244659,655
26000,19,341699,348332,675
26000,21,367262,373437,687
27000,3,253894,299539,1238
27000,5,217323,240093,773
27000,7,225715,241895,747
27000,9,244113,257072,792
27000,19,357826,364874,746
27000,21,381699,388135,755
28000,3,267356,315299,1384
28000,5,225531,248988,820
28000,7,234414,251147,786
28000,9,252763,266006,773
28000,19,371706,378992,738
28000,21,394291,400950,776
29000,3,276790,326413,1363
29000,5,231073,255353,1094
29000,7,240979,258280,1228
29000,9,261208,275028,1146
29000,19,384461,391974,871
29000,21,405273,412091,833
30000,3,288243,339727,1517
30000,5,241570,266723,905
30000,7,251961,270031,864
30000,9,271066,285398,982
30000,19,396782,404499,848
30000,21,425246,432368,993
31000,3,296673,349252,2031
31000,5,249413,275276,961
31000,7,258364,276702,857
31000,9,276335,290909,808
31000,19,412228,420234,819
31000,21,439836,447266,831
32000,3,309264,363944,1638
32000,5,257718,284419,1008
32000,7,267315,286316,917
32000,9,289660,304939,874
32000,19,423188,431410,854
32000,21,453807,461304,858
33000,3,317110,373233,1691
33000,5,265207,292552,1017
33000,7,276990,296563,1065
33000,9,297952,313486,956
33000,19,435380,443820,916
33000,21,468734,476480,880
34000,3,325831,383391,1658
34000,5,273973,302361,1060
34000,7,281292,301161,993
34000,9,307100,323221,915
34000,19,450792,459341,915
34000,21,465470,473357,883
35000,3,335170,394378,2200
35000,5,282327,311441,1329
35000,7,292645,313273,983
35000,9,310573,326882,945
35000,19,466596,475555,1055
35000,21,497859,506172,1164
36000,3,350228,412079,2299
36000,5,286754,316463,1091
36000,7,301156,322519,1016
36000,9,325500,342574,1003
36000,19,477068,486181,1074
36000,21,509175,517636,1141
37000,3,359844,423475,1762
37000,5,294468,324812,1167
37000,7,309868,331901,1028
37000,9,334768,352242,958
37000,19,490511,499966,943
37000,21,524289,533014,1004
38000,3,363825,427610,2053
38000,5,302876,333887,1153
38000,7,318803,341322,1065
38000,9,345042,363091,968
38000,19,503804,513413,973
38000,21,531015,539827,1032
39000,3,374814,440533,2028
39000,5,311877,344054,1159
39000,7,323436,346362,1052
39000,9,353144,371684,1022
39000,19,516644,526529,1041
39000,21,553751,562909,1139
40000,3,390018,458622,2131
40000,5,322944,356024,1229
40000,7,336714,360511,1169
40000,9,358015,376788,1088
40000,19,531894,542072,1086
40000,21,563587,572844,1100
41000,3,399410,469364,2121
41000,5,332192,366299,1220
41000,7,343757,367950,1217
41000,9,371045,390399,1318
41000,19,543011,553320,1504
41000,21,581813,591399,1194
42000,3,403247,473922,2222
42000,5,338824,373455,1472
42000,7,353596,378440,1155
42000,9,380386,400112,1100
42000,19,557172,567867,1198
42000,21,598440,608282,1309
43000,3,419197,492243,2490
43000,5,347357,382913,1366
43000,7,360202,385554,1305
43000,9,390047,410508,1222
43000,19,568281,579102,1132
43000,21,611669,621735,1123
44000,3,428284,502959,2289
44000,5,356412,392935,1336
44000,7,370094,396108,1220
