n,algorytm,porownania
1000,BinarySearch,10
1000,SmartSearch,6
2000,BinarySearch,19
2000,SmartSearch,6
3000,BinarySearch,14
3000,SmartSearch,6
4000,BinarySearch,18
4000,SmartSearch,7
5000,BinarySearch,18
5000,SmartSearch,12
6000,BinarySearch,17
6000,SmartSearch,5
7000,BinarySearch,15
7000,SmartSearch,2
8000,BinarySearch,23
8000,SmartSearch,13
9000,BinarySearch,20
9000,SmartSearch,9
10000,BinarySearch,17
10000,SmartSearch,2
11000,BinarySearch,25
11000,SmartSearch,13
12000,BinarySearch,19
12000,SmartSearch,5
13000,BinarySearch,23
13000,SmartSearch,11
14000,BinarySearch,18
14000,SmartSearch,10
15000,BinarySearch,20
15000,SmartSearch,11
16000,BinarySearch,20
16000,SmartSearch,11
17000,BinarySearch,22
17000,SmartSearch,2
18000,BinarySearch,20
18000,SmartSearch,12
19000,BinarySearch,21
19000,SmartSearch,8
20000,BinarySearch,21
20000,SmartSearch,10
21000,BinarySearch,20
21000,SmartSearch,12
22000,BinarySearch,20
22000,SmartSearch,10
23000,BinarySearch,21
23000,SmartSearch,7
24000,BinarySearch,26
24000,SmartSearch,9
25000,BinarySearch,21
25000,SmartSearch,10
26000,BinarySearch,20
26000,SmartSearch,10
27000,BinarySearch,23
27000,SmartSearch,14
28000,BinarySearch,20
28000,SmartSearch,10
29000,BinarySearch,24
29000,SmartSearch,9
30000,BinarySearch,26
30000,SmartSearch,10
31000,BinarySearch,19
31000,SmartSearch,10
32000,BinarySearch,18
32000,SmartSearch,7
33000,BinarySearch,19
33000,SmartSearch,5
34000,BinarySearch,26
34000,SmartSearch,9
35000,BinarySearch,24
35000,SmartSearch,17
36000,BinarySearch,21
36000,SmartSearch,14
37000,BinarySearch,23
37000,SmartSearch,7
38000,BinarySearch,25
38000,SmartSearch,9
39000,BinarySearch,20
39000,SmartSearch,6
40000,BinarySearch,14
40000,SmartSearch,7
41000,BinarySearch,25
41000,SmartSearch,15
42000,BinarySearch,23
42000,SmartSearch,14
43000,BinarySearch,21
43000,SmartSearch,2
44000,BinarySearch,25
44000,SmartSearch,11
45000,BinarySearch,23
45000,SmartSearch,11
46000,BinarySearch,21
46000,SmartSearch,2
47000,BinarySearch,27
47000,SmartSearch,15
48000,BinarySearch,22
48000,SmartSearch,17
49000,BinarySearch,26
49000,SmartSearch,9
50000,BinarySearch,26
50000,SmartSearch,12
51000,BinarySearch,21
51000,SmartSearch,12
52000,BinarySearch,24
52000,SmartSearch,7
53000,BinarySearch,22
53000,SmartSearch,10
54000,BinarySearch,23
54000,SmartSearch,9
55000,BinarySearch,23
55000,SmartSearch,16
56000,BinarySearch,22
56000,SmartSearch,12
57000,BinarySearch,21
57000,SmartSearch,9
58000,BinarySearch,24
58000,SmartSearch,9
59000,BinarySearch,27
59000,SmartSearch,9
60000,BinarySearch,24
60000,SmartSearch,13
61000,BinarySearch,27
61000,SmartSearch,14
62000,BinarySearch,23
62000,SmartSearch,12
63000,BinarySearch,23
63000,SmartSearch,7
64000,BinarySearch,28
64000,SmartSearch,13
65000,BinarySearch,19
65000,SmartSearch,9
66000,BinarySearch,18
66000,SmartSearch,11
67000,BinarySearch,23
67000,SmartSearch,11
68000,BinarySearch,24
68000,SmartSearch,12
69000,BinarySearch,22
69000,SmartSearch,15
70000,BinarySearch,26
70000,SmartSearch,7
71000,BinarySearch,25
71000,SmartSearch,9
72000,BinarySearch,25
72000,SmartSearch,17
73000,BinarySearch,22
73000,SmartSearch,15
74000,BinarySearch,26
74000,SmartSearch,6
75000,BinarySearch,20
75000,SmartSearch,8
76000,BinarySearch,26
76000,SmartSearch,16
77000,BinarySearch,21
77000,SmartSearch,13
78000,BinarySearch,28
78000,SmartSearch,16
79000,BinarySearch,23
79000,SmartSearch,9
80000,BinarySearch,23
80000,SmartSearch,10
81000,BinarySearch,27
81000,SmartSearch,11
82000,BinarySearch,22
82000,SmartSearch,10
83000,BinarySearch,27
83000,SmartSearch,10
84000,BinarySearch,23
84000,SmartSearch,12
85000,BinarySearch,23
85000,SmartSearch,14
86000,BinarySearch,26
86000,SmartSearch,14
87000,BinarySearch,22
87000,SmartSearch,12
88000,BinarySearch,27
88000,SmartSearch,13
89000,BinarySearch,23
89000,SmartSearch,8
90000,BinarySearch,24
90000,SmartSearch,9
91000,BinarySearch,25
91000,SmartSearch,13
92000,BinarySearch,22
92000,SmartSearch,10
93000,BinarySearch,23
93000,SmartSearch,18
94000,BinarySearch,27
94000,SmartSearch,10
95000,BinarySearch,24
95000,SmartSearch,9
96000,BinarySearch,24
96000,SmartSearch,16
97000,BinarySearch,25
97000,SmartSearch,11
98000,BinarySearch,24
