n,algorytm,porownania
1000,BinarySearch,13
1000,SmartSearch,14
2000,BinarySearch,10
2000,SmartSearch,11
3000,BinarySearch,16
3000,SmartSearch,15
4000,BinarySearch,16
4000,SmartSearch,17
5000,BinarySearch,15
5000,SmartSearch,17
6000,BinarySearch,21
6000,SmartSearch,17
7000,BinarySearch,16
7000,SmartSearch,19
8000,BinarySearch,14
8000,SmartSearch,19
9000,BinarySearch,19
9000,SmartSearch,20
10000,BinarySearch,16
10000,SmartSearch,21
11000,BinarySearch,22
11000,SmartSearch,19
12000,BinarySearch,15
12000,SmartSearch,18
13000,BinarySearch,20
13000,SmartSearch,20
14000,BinarySearch,23
14000,SmartSearch,20
15000,BinarySearch,20
15000,SmartSearch,19
16000,BinarySearch,18
16000,SmartSearch,20
17000,BinarySearch,19
17000,SmartSearch,18
18000,BinarySearch,18
18000,SmartSearch,21
19000,BinarySearch,22
19000,SmartSearch,18
20000,BinarySearch,19
20000,SmartSearch,19
21000,BinarySearch,23
21000,SmartSearch,18
22000,BinarySearch,22
22000,SmartSearch,23
23000,BinarySearch,17
23000,SmartSearch,21
24000,BinarySearch,8
24000,SmartSearch,20
25000,BinarySearch,24
25000,SmartSearch,18
26000,BinarySearch,21
26000,SmartSearch,21
27000,BinarySearch,19
27000,SmartSearch,19
28000,BinarySearch,23
28000,SmartSearch,23
29000,BinarySearch,16
29000,SmartSearch,19
30000,BinarySearch,22
30000,SmartSearch,22
31000,BinarySearch,22
31000,SmartSearch,23
32000,BinarySearch,24
32000,SmartSearch,10
33000,BinarySearch,24
33000,SmartSearch,21
34000,BinarySearch,20
34000,SmartSearch,20
35000,BinarySearch,24
35000,SmartSearch,23
36000,BinarySearch,20
36000,SmartSearch,21
37000,BinarySearch,18
37000,SmartSearch,26
38000,BinarySearch,19
38000,SmartSearch,12
39000,BinarySearch,24
39000,SmartSearch,21
40000,BinarySearch,19
40000,SmartSearch,24
41000,BinarySearch,24
41000,SmartSearch,22
42000,BinarySearch,25
42000,SmartSearch,21
43000,BinarySearch,17
43000,SmartSearch,22
44000,BinarySearch,24
44000,SmartSearch,22
45000,BinarySearch,23
45000,SmartSearch,23
46000,BinarySearch,24
46000,SmartSearch,21
47000,BinarySearch,19
47000,SmartSearch,9
48000,BinarySearch,23
48000,SmartSearch,18
49000,BinarySearch,25
49000,SmartSearch,21
50000,BinarySearch,13
50000,SmartSearch,23
51000,BinarySearch,23
51000,SmartSearch,19
52000,BinarySearch,21
52000,SmartSearch,22
53000,BinarySearch,14
53000,SmartSearch,18
54000,BinarySearch,23
54000,SmartSearch,22
55000,BinarySearch,25
