n,srednia_rund,min_rund,max_rund
10,5.9,4,7
30,10.9,8,14
50,13.5,10,18
70,16.55,12,24
90,18.35,11,25
110,18.35,14,26
130,21,13,31
150,22.35,17,30
170,25.2,20,30
190,23.8,16,33
210,26.25,19,45
230,27.65,17,42
250,27.45,16,41
270,28.2,18,37
290,28.85,22,46
310,31.9,23,49
330,33.25,21,46
350,34.5,24,48
370,34.7,23,49
390,35.6,24,50
410,34.8,26,62
430,36.7,27,63
450,38.8,25,67
470,38.4,27,53
490,39.1,25,55
510,36.3,26,50
530,40.7,29,53
550,38,24,55
570,39.15,30,66
590,44.8,33,67
610,44.75,27,61
630,39.35,28,52
650,41.5,29,55
670,45.35,33,73
690,43.75,30,53
710,41.35,29,59
730,45.6,31,61
750,42.8,33,58
770,44.25,33,57
790,46.1,31,57
810,48.95,34,68
830,49.95,37,73
850,44,31,64
870,48.35,34,64
890,47.35,32,63
910,52.4,35,74
930,50.35,31,74
950,49,36,59
970,54,41,73
990,49.35,34,63
1010,53.45,37,72
