DATASET: mu1979.tsp
23924.2 56233.6
23933.3 56233.3
24000 56250
24016.7 56250
24033.3 56216.7
24083.3 56250
24133.3 56216.7
24133.3 56200
24050 56166.7
24033.3 56166.7
24033.3 56150
24100 56116.7
24083.3 56116.7
24033.3 56100
24000 55983.3
24173.3 55960
24201.1 55958.6
24248.6 55959.7
24366.7 56083.3
24316.7 56116.7
24316.7 56133.3
24300 56116.7
24266.7 56150
24200 56233.3
24200 56250
24200 56266.7
24250 56316.7
24183.3 56300
24183.3 56316.7
24066.7 56383.3
23983.6 56410
23955.8 56438.9
23933.9 56420
23927.2 56411.4
23924.2 56402.5
23929.2 56392.8
23946.1 56390.8
23933.1 56347.8
23900 56400
23907.5 56405.6
23894.4 56444.4
23883.9 56420.8
23875.8 56412.5
23879.2 56382.2
23878.3 56376.1
23861.7 56374.2
23856.1 56349.7
23840.8 56343.6
23818.6 56396.4
23654.4 56333.6
23666.7 56366.7
23666.1 56372.5
23631.9 56443.6
23622.8 56487.8
23541.1 56372.8
23546.4 56363.1
23548.3 56360.3
23550.3 56356.9
23535.6 56325.3
23530 56312.2
23541.1 56303.3
23552.5 56280.8
23565.8 56267.5
23550.8 56257.5
23548.1 56244.7
23450.8 56208.3
23449.2 56220
23447.5 56222.2
23441.4 56228.6
23435.6 56234.7
23422.2 56246.4
23417.2 56277.8
23401.9 56283.1
23317.5 56316.1
23354.7 56354.7
23325.8 56386.7
23508.1 56451.1
23506.4 56465
23500 56483.3
23516.7 56500
23500 56516.7
23564.2 56531.9
23585.6 56540.8
23535.8 56546.7
23433.3 56633.3
23431.4 56626.7
23288.9 56547.2
23280.3 56536.4
23271.4 56527.5
23256.4 56508.6
23224.7 56473.6
23222.5 56461.7
23229.4 56458.3
23212.8 56429.7
23191.4 56435.8
23143.9 56451.9
23144.7 56466.9
23179.2 56480.6
23204.7 56524.7
23236.4 56504.4
23242.8 56516.7
23297.8 56618.6
23311.9 56614.7
23310 56627.8
23291.4 56658.9
23279.2 56698.9
23252.8 56746.4
23083.3 56816.7
23135.8 56894.7
23168.3 56909.2
23208.3 56959.7
23281.9 56922.8
23283.6 56893.6
23378.9 56877.5
23384.7 56870.6
23388.6 56914.4
23383.3 56918.9
23372.5 56949.7
23374.4 56961.9
23392.8 56985.3
23395.8 56984.4
23399.4 56997.5
23381.9 57013.9
23385.3 57021.4
23393.3 57032.5
23388.1 57035.8
23350 57026.7
23332.2 57028.3
23321.9 57028.1
23312.8 57031.1
23294.7 57008.3
23252.5 57045.3
23229.4 57061.4
23229.7 57046.7
23234.2 57039.4
23224.2 57037.5
23214.7 57013.6
23185.8 57018.3
23183.3 57016.7
23130.3 57083.6
23137.8 57085.6
23170.3 57152.2
23198.3 57206.7
23191.4 57211.7
23175 57200.8
23148.6 57206.7
23100 57161.7
23016.7 57166.7
22983.3 57150
22983.3 57133.3
23041.1 57142.8
23059.4 57130
23071.9 57131.1
23079.7 57106.4
23105.3 57069.2
23100 57050
23066.7 57034.2
23150 57000
23167.8 56942.8
23137.8 56924.4
23113.6 56933.3
23070.3 56965.8
23060.6 56982.2
23061.1 57000.8
23050 56983.6
22700 56833.3
22750 56966.7
22716.7 57233.3
22683.3 57283.3
22666.7 57283.3
22616.7 57300
22650 57333.3
22666.7 57350
22383.3 57533.3
22500 57083.3
22083.3 56000
21500 57333.3
20950 56766.7
20616.7 56933.3
20616.7 56616.7
20683.3 56500
20883.3 56516.7
20883.3 56116.7
20783.3 56150
20483.3 56250
20316.7 56166.7
19933.3 56316.7
20183.3 56033.3
20533.3 55933.3
20033.3 55600
19500 54866.7
18966.7 54783.3
18600 54883.3
18350 55166.7
18133.3 55266.7
18366.7 54933.3
18350 54700
18650 54083.3
18433.3 53133.3
17916.7 53516.7
17766.7 53533.3
17733.3 53550
17883.3 53050
17850 52983.3
17716.7 53066.7
17583.3 52550
17466.7 52833.3
17350 52816.7
17333.3 52783.3
17333.3 52750
17016.7 53000
16816.7 53316.7
16700 53233.3
16700 53250
16716.7 53300
16733.3 53333.3
16750 53416.7
17016.7 53683.3
16883.3 53783.3
16934.2 53992.5
16983.3 54016.7
16999.2 54053.3
17003.3 54037.8
17000 53983.3
17016.7 53983.3
17036.9 53982.8
17039.7 53966.7
17044.7 53972.8
17060.6 53974.7
17066.7 53950
17132.5 53972.8
17118.1 53981.1
17116.7 54000
17118.1 54009.7
17118.9 54015.6
17113.6 54027.2
17103.9 54029.7
17083.1 54031.7
17075 54042.2
17089.7 54064.7
17138.3 54077.2
17140.6 54082.8
17138.3 54085.6
17136.1 54091.9
17133.3 54100
17130.8 54101.7
17133.3 54116.7
17142.8 54133.1
17141.7 54162.5
17133.1 54158.9
17091.4 54123.6
17050 54133.3
17017.5 54082.8
16983.3 54116.7
17009.7 54163.1
17035 54209.4
17055.8 54227.2
17061.7 54231.9
17107.8 54263.6
17123.6 54256.4
17131.9 54277.8
17134.7 54276.7
17153.3 54303.3
17153.9 54312.8
17150 54316.7
17192.5 54318.9
17185.3 54272.2
17170.8 54261.1
17165.6 54262.8
17170.8 54246.1
17183.3 54250
17250 54250
17198.1 54211.9
17169.2 54216.7
17151.7 54199.4
17147.5 54195.3
17148.1 54179.7
17189.7 54185.3
17189.7 54159.2
17198.3 54141.4
17195.6 54135.3
17189.2 54133.9
17177.2 54133.1
17183.3 54109.7
17199.4 54088.6
17180.6 54087.8
17173.6 54083.6
17167.8 54084.2
17159.4 54082.2
17140.6 54066.9
17146.4 54057.5
17158.3 54049.2
17158.1 54043.1
17141.7 54044.2
17153.3 54021.9
17152.2 54021.4
17131.9 54021.7
17133.3 54016.7
17132.2 54005
17126.7 54002.8
17132.2 53994.7
17170.3 53993.6
17200 53983.3
17194.4 53993.3
17216.7 54033.3
17216.7 54050
17235.3 54048.3
17233.3 54033.3
17233.3 54000
17233.3 53966.7
17283.3 53966.7
17400 53916.7
17400 53900
17450 53700
17466.7 53516.7
17583.3 53683.3
17566.7 53716.7
17670 54033.3
18000 53966.7
17816.1 54284.2
17483.3 54550
17228.1 54603.6
17144.7 54580.6
17118.1 54555.3
17123.6 54540.3
17131.4 54541.7
17133.3 54516.7
17145.8 54539.2
17165.6 54543.1
17190.6 54533.1
17254.4 54496.4
17200 54466.7
17178.6 54446.9
17183.9 54414.2
17192.8 54406.9
17197.5 54376.7
17190.6 54365.3
17180 54365.8
17177.5 54370.3
17179.2 54383.9
17183.6 54390.8
17179.2 54415.8
17165.6 54436.9
17148.1 54431.7
17150 54416.7
17139.4 54399.7
17136.7 54383.3
17153.1 54380.8
17155.3 54381.7
17144.4 54347.8
17133.6 54353.3
17119.2 54333.9
17107.2 54321.7
17098.9 54327.2
17083.3 54376.9
17088.9 54385.3
17091.4 54383.3
17095 54385
17129.7 54385.6
17123.9 54400.6
17111.4 54407.2
17095.8 54396.7
17037.2 54403.6
17040.8 54431.4
17033.3 54450
17071.7 54465.3
17083.3 54466.7
17111.1 54455.3
17082.8 54436.7
17109.2 54426.1
17120.6 54435
17125 54430.6
17124.2 54435.3
17142.2 54446.7
17133.3 54450
17128.9 54456.9
17122.2 54481.4
17107.8 54490.8
17128.1 54509.2
17094.7 54510.3
17086.1 54508.6
17068.1 54540.8
17087.2 54581.1
17102.5 54593.3
17090 54604.2
17059.2 54596.7
17077.2 54619.4
17071.1 54629.4
16988.6 54692.2
17050 55066.7
17100 55116.7
17366.7 55283.3
17450 55250
17816.7 55666.7
17950 55683.3
18116.7 55633.3
18300 55966.7
18483.3 56050
17933.3 56333.3
18083.3 56483.3
18116.7 56533.3
18200 56550
18316.7 56600
18466.7 56450
18650 56533.3
19000 56916.7
19100 56966.7
19650 57700
19800 57716.7
19833.3 57750
20050 57733.3
20550 57516.7
20466.7 58050
20616.7 58200
21016.7 58016.7
21066.7 58350
21283.3 58233.3
21400 58400
21583.3 58616.7
21700 58633.3
21600 58650
21100 58883.3
20848.3 58733.9
20600 58850
20599.2 58854.2
20560.3 58840.6
20566.7 58816.7
20548.3 58807.5
20509.2 58785.3
20466.7 58783.3
20461.7 58781.9
20433.3 58766.7
20416.7 58750
20416.7 58733.3
20350 58683.3
20300 58633.3
20250 58733.3
20366.7 58783.3
20405.8 58788.9
20400 58816.7
20421.9 58816.9
20466.7 58900
20477.8 58898.6
20516.7 58950
20521.4 58944.7
20546.4 58936.4
20559.2 58931.4
20590.8 58904.7
20658.9 58870.3
20666.7 58883.3
21250 59050
21400 59283.3
21850 59566.7
22014.2 59661.4
22050 59633.3
22085.3 59685.6
22119.7 59715.3
22128.9 59721.1
22179.2 59764.2
22226.4 59799.2
22293.1 59820.6
22437.8 59828.6
22448.6 59828.1
22523.1 59788.9
22473.6 59763.1
22491.9 59718.3
22261.9 59693.9
22166.9 59653.6
22129.4 59624.2
22110.8 59609.7
22032.2 59490.3
22036.9 59477.8
22021.1 59445.8
22027.2 59445.6
22069.7 59471.9
22126.1 59405
22118.1 59403.1
22109.7 59382.5
22005.8 59354.7
22016.1 59324.2
22081.7 59279.7
22140.6 59161.4
22163.6 59235
22192.8 59221.4
22219.7 59202.5
22243.1 59215.6
22416.1 59178.1
22420.3 59151.4
22470.3 59106.7
22478.3 59126.1
22509.7 59122.2
22546.9 59128.1
22549.7 59120.3
22558.9 59108.3
22567.8 59111.4
22566.7 59100
22590.3 59090.8
22603.1 59085
22614.4 59092.5
22598.6 58826.4
22451.9 58794.4
22450 58800
22446.1 58813.1
22393.3 58853.1
22435.6 58800.6
22433.3 58783.3
22500.8 58743.9
22550 58666.7
22550.6 58686.4
22566.7 58700
22583.6 58683.1
22612.5 58668.3
22633.3 58666.7
22733.3 58683.3
22766.7 58666.7
22759.2 58651.1
22755 58654.2
22733.3 58650
22724.2 58651.9
22690.3 58546.9
22683.3 58533.3
22705.3 58528.1
22728.3 58531.9
22764.2 58501.1
22716.7 58516.7
22712.2 58509.4
22683.3 58516.7
22633.3 58550
22633.3 58533.3
22382.2 58212.8
22168.6 58039.7
22299.4 58070
22370.3 58059.4
22374.7 58011.9
22410.3 58026.1
22428.6 58017.8
22447.2 58019.2
22466.7 57966.7
22473.9 58017.2
22498.6 58028.6
22505.3 58021.1
22552.2 58004.2
22558.9 58027.2
22577.5 58023.6
22616.1 57998.3
22626.7 58006.4
22666.7 57983.3
22720.6 57996.4
22666.7 58033.3
22660 58042.2
22615.8 58040.8
22580.3 58130.6
22569.2 58120
22538.6 58118.1
22525 58123.9
22502.2 58114.7
22516.7 58150
22522.5 58158.9
22545 58176.9
22563.6 58192.8
22572.8 58192.8
22602.5 58182.8
22615.3 58137.5
22626.4 58148.6
22714.2 58171.7
22797.8 58127.2
22816.7 58150
22817.8 58155.8
22831.7 58168.1
22841.9 58168.9
22876.9 58206.4
22883.3 58216.7
22975.6 58255.6
22978.6 58270.8
22961.1 58277.5
22966.7 58300
22969.4 58295.3
22985.8 58293.6
23042.5 58314.2
23033.6 58278.9
23011.7 58224.7
23022.5 58211.4
23016.9 58147.8
23041.4 58197.5
23091.7 58236.7
23119.7 58216.7
23084.2 58153.9
23056.4 58133.9
23090.8 58104.7
23042.8 58091.9
23051.1 58085.8
23063.6 58070.6
23088.9 58040.8
23098.3 58036.9
23028.1 58011.9
23016.1 58022.2
22993.9 58022.5
22945.6 58020.6
22923.6 58054.4
22921.9 58073.3
22927.5 58078.3
22918.6 58078.1
22912.2 58078.6
22911.7 58046.9
22898.9 58023.9
22900 58016.7
22886.1 58013.6
22861.4 58057.2
22803.9 58025
22766.7 58016.7
22776.7 58012.5
22800 58000
22808.1 57997.8
22850 57966.7
22883.3 57933.3
22900 57916.7
22950 57900
22966.7 57916.7
23026.4 57982.8
23021.7 57993.1
23046.7 57988.9
23045.6 57961.9
23054.7 57956.1
23060 57954.4
23062.5 57948.1
23065.8 57950
23077.8 57944.7
23083.3 57933.3
23073.3 57925.8
