DATASET: ca4663.tsp
50233.3 121567
50116.7 122983
49966.7 123150
49766.7 123150
49350 123033
49250 122950
49216.7 122917
42716.7 82483.3
42950 81883.3
43033.3 81466.7
42983.3 81250
43283.3 80450
43900 78866.7
44066.7 78366.7
44133.3 78183.3
44483.3 77683.3
44516.7 77616.7
45216.7 77400
45450 77316.7
45550 77416.7
47600 79650
48650 80683.3
48683.3 80733.3
48700 80783.3
51200 97566.7
51283.3 98416.7
51366.7 99116.7
51316.7 99500
51216.7 101883
51216.7 102000
51150 101750
50600 98733.3
48633.3 88766.7
47950 84916.7
45750 73483.3
45683.3 73183.3
45400 71900
44266.7 66350
44266.7 66316.7
44183.3 66150
44083.3 66033.3
44050 66166.7
42900 79616.7
42950 80050
43100 80233.3
43433.3 80316.7
43916.7 80083.3
44800 79716.7
46066.7 79116.7
46083.3 78883.3
46166.7 77566.7
46366.7 75966.7
46400 74866.7
46616.7 72733.3
46616.7 72666.7
46566.7 72000
46566.7 71833.3
46583.3 71616.7
46566.7 71433.3
46516.7 71066.7
46483.3 70616.7
46400 70500
46483.3 70200
46733.3 67700
46800 67716.7
46850 69900
46766.7 70950
46733.3 71266.7
49716.7 100967
49783.3 101667
50133.3 106383
52150 128133
52166.7 128133
52350 127700
53833.3 126283
54033.3 126150
54400 126033
54350 125917
54100 125167
54083.3 125017
54016.7 124283
53866.7 123083
53816.7 122867
51816.7 114367
51783.3 114100
51916.7 114033
52133.3 113867
53016.7 112817
53166.7 112617
53216.7 112567
53366.7 112667
53700 112633
54007.2 112679
54113.1 112474
54143.9 112276
55750 103167
55533.3 102333
54916.7 98633.3
54833.3 98250
52750 82000
51966.7 79316.7
47850 59150
47583.3 56816.7
47566.7 56750
47550 56883.3
46433.3 63650
46250 65066.7
46266.7 66633.3
46133.3 71216.7
46216.7 73016.7
46366.7 74766.7
46533.3 76033.3
47833.3 83400
48850 88483.3
49983.3 93616.7
51050 99533.3
51150 100050
52133.3 106600
52383.3 107667
53183.3 110783
53833.3 112117
53883.3 112333
53600 112333
53466.7 111867
53416.7 111683
53333.3 111167
52916.7 111233
52633.3 111217
52683.3 111300
52516.7 111917
52583.3 112567
52633.3 114217
53000 123617
53033.3 128900
53250 131833
53250 132000
53333.3 131950
53400 131917
54133.3 130167
54366.7 128550
54216.7 125767
54166.7 125483
53983.3 124967
53883.3 124567
51916.7 122100
51033.3 120733
50966.7 120250
50866.7 119583
50866.7 119467
50833.3 119000
50933.3 118783
52933.3 117283
53416.7 116683
53583.3 116417
53666.7 115983
53650 115583
53616.7 115450
53616.7 115250
53566.7 114717
53516.7 114333
52833.3 110867
52366.7 108217
50800 98983.3
49816.7 92983.3
49766.7 92700
49716.7 92600
49700 92500
48733.3 92083.3
48750 92283.3
48766.7 92616.7
49500 98000
49816.7 100300
50866.7 105250
51266.7 107017
51333.3 107450
51483.3 108400
52383.3 114600
53300 120167
53766.7 123050
54050 124533
54200 125083
54283.3 125833
54400 126650
54433.3 126750
53966.7 126517
50916.7 126867
50750 126483
50516.7 125750
50416.7 125517
50450 125367
50483.3 122600
50416.7 120817
50516.7 117283
50500 116033
50250 113667
50066.7 112100
49650 108417
49183.3 105950
44166.7 81633.3
43966.7 80733.3
43700 79633.3
43700 79566.7
43583.3 79533.3
43200 79550
43150 79500
43600 79500
43633.3 79466.7
43666.7 79416.7
43700 79366.7
43783.3 79266.7
44100 78633.3
44300 78333.3
44383.3 78200
44250 78166.7
44300 77800
44300 77600
44200 77033.3
44150 76766.7
45400 62500
45400 62183.3
45383.3 61983.3
45650 61516.7
45700 61483.3
45616.7 61650
45616.7 61966.7
45666.7 62700
46683.3 71066.7
49816.7 97133.3
49833.3 97216.7
50066.7 98450
50133.3 98566.7
50233.3 98950
50366.7 99466.7
50533.3 100317
50750 101433
50933.3 102800
51516.7 107717
51633.3 108350
52150 111733
52466.7 114050
53933.3 121467
53983.3 121617
54116.7 122067
54116.7 122217
55850 120783
59033.3 117683
60850 115700
60883.3 115033
60833.3 114467
55799.7 112639
55201.4 112466
54820.6 112686
54762.5 112688
54238.6 112777
54181.7 112801
54093.1 112787
54093.3 112619
54036.7 112555
54004.7 112405
54006.9 112333
53083.3 111783
52733.3 111550
52016.7 110800
51350 110333
51150 110200
50966.7 110017
50883.3 110267
50816.7 110467
50800 110683
50750 111183
50733.3 111300
50700 111683
50450 111650
50283.3 111350
49933.3 111700
49783.3 112150
49766.7 112450
49783.3 118133
49866.7 119400
49900 119483
49883.3 120633
49883.3 121467
49750 124550
49800 124617
49883.3 124550
49850 124533
49700 123150
49566.7 121433
43283.3 81250
43250 79833.3
43216.7 79750
43116.7 79200
43166.7 79233.3
43400 80350
43466.7 81183.3
43566.7 81700
49000 111950
49583.3 114367
49600 114433
49566.7 114067
49133.3 112083
44433.3 81383.3
44316.7 80650
44316.7 80100
44283.3 79916.7
45133.3 74000
47966.7 53333.3
48033.3 53116.7
48066.7 52933.3
48083.3 53016.7
48016.7 53266.7
48050 53633.3
58450 111500
61400 135217
61250 135983
60766.7 136017
61016.7 135783
60850 135517
60716.7 135050
60533.3 134550
60166.7 132700
55988.1 109096
55927.5 108939
56983.3 107283
57366.7 106833
59383.3 101333
61933.3 96650
64316.7 96016.7
69533.3 93533.3
72016.7 94250
68633.3 95916.7
56483.3 109633
54733.3 112931
54583.3 113317
53916.7 115033
53666.7 116167
53116.7 119833
53033.3 121717
52433.3 126233
52383.3 126567
52366.7 126750
50950 126200
50683.3 125700
50316.7 122817
50066.7 121550
49566.7 117650
44150 79866.7
44116.7 79566.7
44050 79450
44100 79116.7
44100 78933.3
44233.3 79050
44316.7 79200
44716.7 79816.7
47950 83783.3
48250 84533.3
48466.7 84416.7
48350 84266.7
48300 84083.3
46900 79633.3
46716.7 79083.3
46100 77500
45733.3 76600
45400 75850
45383.3 75800
45366.7 75800
45300 75883.3
45183.3 75833.3
45016.7 75633.3
45100 75350
45266.7 74233.3
45283.3 74233.3
45433.3 73833.3
45516.7 73666.7
45516.7 73650
45550 73666.7
45533.3 73700
45550 73700
45650 73766.7
45700 73783.3
46033.3 74283.3
46116.7 74583.3
46200 74633.3
46316.7 74216.7
46216.7 73533.3
46166.7 73416.7
46083.3 73166.7
45583.3 70883.3
45200 67266.7
45000 66933.3
44766.7 66750
44883.3 66950
45266.7 71516.7
45283.3 72116.7
45366.7 73750
45633.3 78816.7
45666.7 79633.3
49016.7 118783
49033.3 119467
48433.3 123317
48433.3 123350
42783.3 80983.3
42833.3 80300
42800 80066.7
42866.7 79566.7
42883.3 79233.3
43983.3 66016.7
44233.3 64450
44283.3 64366.7
44300 64366.7
44533.3 64233.3
46216.7 63466.7
46216.7 63483.3
46250 63666.7
46400 63783.3
46416.7 63816.7
46433.3 64000
46633.3 64866.7
49316.7 81033.3
51816.7 94000
53116.7 104033
54141.1 110754
54182.2 110903
54181.4 111028
54181.4 111151
54130.3 111152
53883.3 110667
53766.7 110517
53516.7 110333
53283.3 110000
53116.7 109967
52650 109667
52500 109700
52400 109833
52333.3 109950
51766.7 112000
51266.7 114017
49766.7 119750
49033.3 122817
49016.7 123083
48883.3 123317
48916.7 123700
48866.7 123650
48850 123517
48850 123300
49150 102800
49133.3 98950
48566.7 71650
48516.7 68466.7
48516.7 68333.3
48466.7 67433.3
48416.7 67333.3
48166.7 67150
47816.7 66883.3
46116.7 64950
45950 64683.3
45916.7 64650
45600 64950
45350 66233.3
45216.7 67133.3
42900 78933.3
42966.7 79750
43066.7 79950
43200 80383.3
51800 108833
52783.3 111850
53200 113050
55150 119150
55200 119450
53833.3 121267
53766.7 121067
53600 120717
54016.7 115233
54116.7 114400
54150 114233
54233.3 113017
54269.4 111029
54347.5 109227
54326.4 109100
54180.3 108628
48433.3 54016.7
48433.3 53800
48500 53500
48366.7 53383.3
48283.3 53466.7
48366.7 53866.7
48350 54166.7
48516.7 58416.7
48550 58566.7
49266.7 61850
49616.7 63800
50300 64016.7
50250 63583.3
50216.7 62083.3
50183.3 61816.7
50350 57533.3
50366.7 56533.3
50250 56500
49866.7 55666.7
49883.3 55633.3
49650 54383.3
49700 54283.3
49450 54050
49033.3 53866.7
48850 53683.3
48416.7 53600
48400 53633.3
48233.3 53966.7
45633.3 60666.7
45483.3 61033.3
43933.3 64850
43700 65116.7
43450 65633.3
43516.7 65600
43566.7 65566.7
43633.3 65483.3
43600 65466.7
43633.3 65350
43766.7 65316.7
44716.7 65216.7
44950 65266.7
45466.7 65883.3
45883.3 66300
46233.3 66616.7
46283.3 66733.3
46400 66916.7
46900 67383.3
47500 67383.3
47633.3 67333.3
47683.3 67100
47916.7 66000
48000 65333.3
48033.3 65250
48050 65466.7
48166.7 65833.3
48633.3 67116.7
64483.3 113167
64183.3 114183
65183.3 123417
67033.3 126117
65233.3 127083
65283.3 126850
64900 125583
61300 118667
56483.3 109433
52583.3 101050
51766.7 98616.7
51383.3 97483.3
51100 96300
49816.7 89100
48283.3 80233.3
46866.7 72383.3
46750 71816.7
46750 71700
46750 71350
46750 71266.7
46750 71233.3
46883.3 70816.7
47116.7 70333.3
47200 70266.7
47366.7 70033.3
47416.7 69950
47450 69883.3
47516.7 69816.7
47600 69733.3
47600 69800
47633.3 70150
48516.7 77683.3
48550 77950
48716.7 78866.7
48866.7 79500
49466.7 82683.3
50183.3 86700
50233.3 86950
51216.7 92783.3
52616.7 100733
52683.3 101100
52816.7 101433
52833.3 101850
52850 102200
52900 102483
52850 102383
52016.7 100150
50966.7 98183.3
50683.3 97533.3
50566.7 97000
49800 93983.3
48950 90250
48833.3 89916.7
48550 88966.7
46783.3 84050
46716.7 84133.3
46900 84600
49366.7 106383
49416.7 107067
49600 108717
49983.3 113083
50316.7 116950
50416.7 117133
50900 116367
50816.7 116283
51166.7 115567
51466.7 114383
51533.3 114100
51650 113550
51700 113267
52050 112467
52050 112350
52300 108517
52516.7 106017
52483.3 105717
52500 104900
52616.7 103917
53833.3 79016.7
53783.3 77616.7
55066.7 59600
55083.3 59183.3
55183.3 59216.7
55266.7 77783.3
54366.7 82533.3
52950 89883.3
51716.7 91800
51466.7 92350
51266.7 92683.3
50316.7 92283.3
50100 91916.7
50066.7 91750
49366.7 88133.3
47650 80783.3
47383.3 79683.3
47333.3 79433.3
47283.3 79333.3
46283.3 74733.3
46133.3 74183.3
46033.3 73433.3
46016.7 73166.7
46033.3 73133.3
45966.7 72383.3
45900 71350
46133.3 67183.3
46116.7 67150
45950 66633.3
45850 66466.7
45683.3 66100
45533.3 65833.3
45016.7 65166.7
45033.3 65066.7
45033.3 64733.3
45066.7 64633.3
45066.7 64500
45083.3 64400
45083.3 64366.7
45066.7 63950
45083.3 63400
45266.7 62066.7
45250 62016.7
45116.7 62016.7
44916.7 62383.3
44966.7 63966.7
44883.3 65166.7
45083.3 66416.7
45416.7 67183.3
45583.3 67333.3
45683.3 67183.3
46483.3 67416.7
46783.3 67500
48250 65900
49166.7 64916.7
49183.3 64883.3
50183.3 61283.3
50216.7 60716.7
50516.7 59483.3
50700 59333.3
50783.3 59016.7
50833.3 58950
49100 58366.7
49050 58383.3
48650 58650
48550 58733.3
47866.7 59366.7
46433.3 61100
45866.7 61966.7
45616.7 62416.7
45566.7 62650
45550 62716.7
45583.3 62633.3
45616.7 62616.7
45966.7 62566.7
46016.7 62483.3
46016.7 62533.3
46066.7 62816.7
46016.7 62883.3
45750 62733.3
45650 62850
45566.7 63000
45316.7 63516.7
45183.3 63716.7
45183.3 63883.3
45300 64400
45333.3 64766.7
45466.7 70850
45466.7 71933.3
45533.3 73483.3
45550 73733.3
49066.7 123867
49100 123967
49233.3 124800
49266.7 124800
49316.7 124850
49300 124483
43733.3 80966.7
43700 80366.7
43683.3 79766.7
43716.7 79566.7
43716.7 79483.3
43750 79416.7
43866.7 79266.7
44550 78333.3
44750 78083.3
45050 77850
45116.7 77866.7
46133.3 77700
46216.7 77883.3
48016.7 78933.3
48200 79250
48200 79416.7
48366.7 80250
48466.7 81200
48466.7 81283.3
48466.7 81333.3
48250 82433.3
48100 83916.7
48116.7 84066.7
48150 84033.3
48600 83350
49300 82033.3
49350 82150
49416.7 82433.3
49700 83666.7
51483.3 90150
52616.7 94066.7
53700 100300
53816.7 101233
55167.5 108153
56366.7 117067
57666.7 131583
57616.7 131683
56833.3 131767
56683.3 131817
56050 130017
55933.3 130000
55316.7 126617
54443.6 110912
54395.6 110654
54361.9 110206
54416.7 110215
54465 110183
54428.9 110635
54443.9 110762
54819.4 112548
54864.2 112802
55166.7 114033
55283.3 114783
55333.3 115417
56100 118683
