Plik;T_start;Alpha;Mnoznik_Petli;Sredni_Koszt;Najlepszy_Koszt;Czas_Srednio_ms
dj38.tsp;1000;0.9;1;7152.20;6790.00;0.2
dj38.tsp;1000.0;0.9;2;6975.80;6656.00;0.0
dj38.tsp;1000.0;0.9;5;6852.00;6656.00;1.0
dj38.tsp;1000.0;0.9;1;6949.60;6656.00;0.0
dj38.tsp;1000.0;0.9;2;6978.00;6656.00;0.0
dj38.tsp;1000.0;0.9;5;6845.60;6656.00;2.0
dj38.tsp;1000.0;1.0;1;6755.20;6656.00;2.0
dj38.tsp;1000.0;1.0;2;6703.00;6656.00;3.2
dj38.tsp;1000.0;1.0;5;6656.00;6656.00;8.8
dj38.tsp;1000.0;1.0;1;6656.00;6656.00;3.4
dj38.tsp;1000.0;1.0;2;6656.00;6656.00;7.4
dj38.tsp;1000.0;1.0;5;6656.00;6656.00;18.6
dj38.tsp;10000.0;0.9;1;7045.20;6656.00;0.0
dj38.tsp;10000.0;0.9;2;7171.80;6656.00;0.0
dj38.tsp;10000.0;0.9;5;6843.80;6656.00;1.0
dj38.tsp;10000.0;0.9;1;7074.80;6656.00;0.0
dj38.tsp;10000.0;0.9;2;6856.00;6656.00;1.2
dj38.tsp;10000.0;0.9;5;6780.20;6656.00;2.8
dj38.tsp;10000.0;1.0;1;7020.80;6656.00;2.4
dj38.tsp;10000.0;1.0;2;6656.00;6656.00;5.2
dj38.tsp;10000.0;1.0;5;6656.00;6656.00;10.8
dj38.tsp;10000.0;1.0;1;6656.00;6656.00;4.4
dj38.tsp;10000.0;1.0;2;6656.80;6656.00;8.0
dj38.tsp;10000.0;1.0;5;6656.00;6656.00;22.2
wi29.tsp;1000.0;0.9;1;28588.00;27603.00;0.0
wi29.tsp;1000.0;0.9;2;28495.60;28084.00;0.0
wi29.tsp;1000.0;0.9;5;28076.80;27603.00;0.4
wi29.tsp;1000.0;0.9;1;27826.80;27603.00;0.0
