Plik;Tabu_Tenure;Max_Iter_Mnoznik;Siedzi_Mnoznik;Sredni_Koszt;Najlepszy_Koszt;Czas_Srednio_ms
dj38.tsp;10;10;2;6786.00;6660.00;2.0
dj38.tsp;10;10;10;6925.60;6656.00;3.2
dj38.tsp;10;50;2;6659.00;6656.00;2.0
dj38.tsp;10;50;10;6656.00;6656.00;11.0
dj38.tsp;30;10;2;6780.00;6683.00;0.0
dj38.tsp;30;10;10;6656.40;6656.00;2.0
dj38.tsp;30;50;2;6762.20;6719.00;2.2
dj38.tsp;30;50;10;6656.00;6656.00;10.8
dj38.tsp;50;10;2;6809.20;6701.00;0.0
dj38.tsp;50;10;10;6658.20;6656.00;2.2
dj38.tsp;50;50;2;6793.60;6757.00;2.2
dj38.tsp;50;50;10;6657.60;6656.00;11.8
wi29.tsp;10;10;2;28086.20;27603.00;0.0
wi29.tsp;10;10;10;27808.80;27603.00;1.0
wi29.tsp;10;50;2;27660.60;27616.00;1.0
wi29.tsp;10;50;10;27808.80;27603.00;6.8
wi29.tsp;30;10;2;28161.80;27759.00;0.0
wi29.tsp;30;10;10;27842.40;27603.00;1.0
wi29.tsp;30;50;2;28090.40;27904.00;1.0
wi29.tsp;30;50;10;27607.00;27603.00;7.4
wi29.tsp;50;10;2;28505.00;27912.00;0.0
wi29.tsp;50;10;10;27669.40;27603.00;1.0
wi29.tsp;50;50;2;28573.40;28214.00;1.0
wi29.tsp;50;50;10;27604.80;27603.00;8.4
qa194.tsp;10;10;2;10130.60;9941.00;11.8
qa194.tsp;10;10;10;10102.80;9833.00;58.2
qa194.tsp;10;50;2;9840.20;9622.00;55.0
qa194.tsp;10;50;10;9965.00;9751.00;268.0
qa194.tsp;30;10;2;10094.60;10028.00;11.4
qa194.tsp;30;10;10;9914.20;9782.00;53.0
qa194.tsp;30;50;2;9828.20;9606.00;54.4
qa194.tsp;30;50;10;10047.60;9807.00;266.0
qa194.tsp;50;10;2;10170.00;9896.00;11.0
qa194.tsp;50;10;10;10026.40;9886.00;53.0
qa194.tsp;50;50;2;9846.40;9636.00;54.6
qa194.tsp;50;50;10;9903.60;9856.00;266.4
uy734.tsp;10;10;2;85491.40;85085.00;168.4
uy734.tsp;10;10;10;85096.40;84533.00;826.4
uy734.tsp;10;50;2;83987.40;83151.00;830.8
uy734.tsp;10;50;10;84838.00;83956.00;4103.0
uy734.tsp;30;10;2;86242.00;85816.00;169.4
uy734.tsp;30;10;10;85376.60;85082.00;825.2
uy734.tsp;30;50;2;84100.80;83098.00;829.0
uy734.tsp;30;50;10;85022.00;84000.00;4105.2
uy734.tsp;50;10;2;85653.80;84940.00;168.8
uy734.tsp;50;10;10;85828.80;85192.00;828.6
uy734.tsp;50;50;2;84081.80;83581.00;834.0
uy734.tsp;50;50;10;84473.20;83346.00;4115.6
zi929.tsp;10;10;2;105384.80;104241.00;279.0
zi929.tsp;10;10;10;105241.80;104337.00;1339.6
zi929.tsp;10;50;2;104998.00;104561.00;1352.0
zi929.tsp;10;50;10;104342.00;102817.00;10486.8
zi929.tsp;30;10;2;105499.00;104118.00;371.4
zi929.tsp;30;10;10;105135.60;103738.00;2379.2
zi929.tsp;30;50;2;104044.20;102821.00;1735.2
zi929.tsp;30;50;10;105101.60;102733.00;11012.0
zi929.tsp;50;10;2;105212.40;103194.00;295.6
zi929.tsp;50;10;10;103795.80;102347.00;2120.8
zi929.tsp;50;50;2;103936.20;102679.00;1974.2
zi929.tsp;50;50;10;104274.20;103747.00;9046.4
