DATASET: dj38.tsp
11297.5 42853.3
11310.3 42929.4
11416.7 42983.3
11423.9 43000.3
11485.6 43187.2
11461.1 43252.8
11600 43150
11595 43148.1
11583.3 43150
11569.4 43136.7
11503.1 42855.3
11522.2 42841.9
11690.6 42686.7
11770.3 42651.9
11846.9 42660.6
11822.8 42673.6
11751.1 42814.4
11785.3 42884.4
11973.1 43026.1
11963.1 43290.6
12286.9 43355.6
12386.7 43334.7
12363.3 43189.2
12355.8 43156.4
12645 42973.3
12421.7 42895.6
12372.8 42711.4
12300 42433.3
12149.4 42477.5
12058.3 42195.6
11715.8 41836.1
11511.4 42106.4
11438.3 42057.2
11003.6 42102.5
11108.6 42373.9
11155.8 42712.5
11133.3 42885.8
11183.3 42933.3
11297.5 42853.3
END
DATASET: qa194.tsp
25306.9 51507.8
25322.5 51507.8
25341.9 51507.5
25320.6 51495.6
25325.3 51470
25315.3 51438.6
25337.5 51425
25374.4 51436.7
25416.9 51457.8
25400 51425
25396.9 51422.5
25416.9 51403.9
25440.8 51378.1
25469.7 51397.5
25478.1 51362.5
25490.6 51373.6
25483.3 51383.3
25492.2 51400.3
25545.8 51387.5
25538.9 51408.3
25549.7 51431.9
25550 51433.3
25497.5 51485.3
25566.9 51484.7
25574.7 51486.4
25610.3 51475.3
25622.5 51454.4
25645.8 51450
25686.4 51468.9
25683.9 51505.8
25700.8 51584.7
25708.3 51591.7
25734.7 51547.5
25772.2 51483.3
25751.1 51449.2
25779.2 51449.7
25793.3 51409.4
25758.3 51395.8
25650 51372.2
25531.9 51304.4
25459.2 51316.7
25510.6 51242.2
25560.3 51158.6
25585.6 51151.4
25666.9 51174.4
25696.1 51260.8
25829.7 51245.3
25847.8 51205.8
25867.8 51205.6
25883.1 51185.3
25904.2 51201.7
25880.8 51221.4
25872.5 51258.3
25857.5 51298.9
25871.9 51354.7
25888.1 51386.4
25857.5 51441.4
25839.2 51465.3
25944.7 51456.4
25983.3 51400
26021.7 51366.9
26016.7 51333.3
25983.6 51328.1
25951.7 51349.7
25928.3 51337.5
25937.5 51313.3
25966.7 51283.3
26000.3 51294.4
26050.3 51297.5
26055 51316.1
26078.1 51361.7
26133.3 51300
26067.2 51258.6
26050 51250
26077.2 51222.2
26108.1 51244.7
26116.7 51216.7
26123.6 51222.8
26133.3 51216.7
26123.6 51169.2
26150.3 51108.1
26099.7 51161.1
26083.6 51147.2
26076.7 51166.9
26033.6 51200.3
26033.3 51166.7
26033.6 51163.9
26050.6 51135.8
26033.3 51116.7
26074.7 51083.6
26048.9 51056.9
26008.6 51083.6
25958.3 51099.4
25957.8 51075.3
25950 51066.7
25900 51000
25850 51033.3
25826.7 51043.9
25866.7 51066.7
25856.7 51083.3
25823.6 51152.5
25816.7 51133.3
25833.3 51072.2
25808.3 51060.6
25775.8 51023.1
25765.3 51019.7
25751.9 50920.8
25723.1 51004.2
25716.7 51050
25717.5 51057.8
25609.4 51092.2
25567.5 50958.9
25533.3 50977.2
25500.8 50980.6
25495 50965.3
25480.6 50938.9
25444.4 50958.3
25451.4 50925
25495 50846.7
25429.7 50785.8
25419.4 50793.6
25316.7 50766.7
25214.2 50807.2
