DATASET: dj38.tsp
11183.3 42933.3
11297.5 42853.3
11310.3 42929.4
11416.7 42983.3
11423.9 43000.3
11485.6 43187.2
11461.1 43252.8
11583.3 43150
11595 43148.1
11600 43150
11569.4 43136.7
11503.1 42855.3
11522.2 42841.9
11690.6 42686.7
11770.3 42651.9
11822.8 42673.6
11846.9 42660.6
11751.1 42814.4
11785.3 42884.4
11973.1 43026.1
11963.1 43290.6
12286.9 43355.6
12386.7 43334.7
12363.3 43189.2
12355.8 43156.4
12645 42973.3
12421.7 42895.6
12372.8 42711.4
12300 42433.3
12149.4 42477.5
12058.3 42195.6
11715.8 41836.1
11511.4 42106.4
11438.3 42057.2
11003.6 42102.5
11108.6 42373.9
11155.8 42712.5
11133.3 42885.8
11183.3 42933.3
END
DATASET: qa194.tsp
25440.8 51378.1
25416.9 51403.9
25396.9 51422.5
25400 51425
25416.9 51457.8
25374.4 51436.7
25337.5 51425
25315.3 51438.6
25325.3 51470
25320.6 51495.6
25341.9 51507.5
25322.5 51507.8
25306.9 51507.8
25292.5 51520.8
25286.1 51534.2
25286.7 51533.3
25281.1 51535
25278.3 51541.4
25284.7 51555.3
25277.2 51547.8
25283.3 51533.3
25290.8 51528.3
25287.5 51537.8
25288.1 51546.7
25283.6 51546.7
25265.8 51545.3
25278.3 51525.6
25286.1 51504.2
25281.4 51512.5
25270.8 51505.8
25263.6 51516.4
25270.8 51523.1
25275.8 51533.6
25270.6 51532.8
25253.9 51535.3
25253.9 51549.7
25252.5 51559.2
25211.4 51619.2
25167.8 51606.9
25150.8 51537.8
25103.3 51521.7
25100 51516.7
24996.1 51548.9
24827.2 51394.7
24758.9 51211.9
24904.4 51175
24748.3 50840
25010 51039.4
25067.8 51077.5
25168.9 51086.4
25158.3 51163.6
25224.2 51174.4
25234.2 51203.1
25162.2 51220.8
25121.9 51218.3
25030.8 51275.3
25173.9 51269.4
25235.6 51330
25233.3 51333.3
25214.4 51378.9
25210.8 51394.2
25256.9 51398.9
25242.8 51428.9
25243.1 51452.5
25223.3 51451.7
25235.6 51495.6
25266.7 51483.3
25279.2 51445.6
25291.9 51424.4
25300.8 51394.4
25326.7 51350.3
25358.9 51333.6
25340.6 51293.6
25377.8 51294.7
25363.6 51281.1
25368.6 51226.4
25433.3 51220
25400 51183.3
25339.2 51173.3
25404.7 51073.1
25311.9 51003.1
25298.6 51001.7
25266.7 50969.2
25313.9 50883.3
25214.2 50807.2
25316.7 50766.7
25419.4 50793.6
25429.7 50785.8
25495 50846.7
25451.4 50925
25444.4 50958.3
25480.6 50938.9
25495 50965.3
25500.8 50980.6
25533.3 50977.2
25567.5 50958.9
25751.9 50920.8
25723.1 51004.2
25716.7 51050
25717.5 51057.8
25765.3 51019.7
25775.8 51023.1
25808.3 51060.6
25826.7 51043.9
25833.3 51072.2
25856.7 51083.3
25866.7 51066.7
25850 51033.3
25900 51000
25950 51066.7
25957.8 51075.3
25958.3 51099.4
26008.6 51083.6
26048.9 51056.9
26074.7 51083.6
26150.3 51108.1
26123.6 51169.2
26099.7 51161.1
26076.7 51166.9
26083.6 51147.2
26050.6 51135.8
26033.3 51116.7
26033.6 51163.9
26033.3 51166.7
26033.6 51200.3
26050 51250
26067.2 51258.6
26077.2 51222.2
26108.1 51244.7
26116.7 51216.7
26133.3 51216.7
26123.6 51222.8
26133.3 51300
26078.1 51361.7
26055 51316.1
26050.3 51297.5
26000.3 51294.4
25966.7 51283.3
25880.8 51221.4
25867.8 51205.6
25904.2 51201.7
25883.1 51185.3
25816.7 51133.3
25823.6 51152.5
25847.8 51205.8
25829.7 51245.3
25872.5 51258.3
25857.5 51298.9
25871.9 51354.7
25888.1 51386.4
25928.3 51337.5
25937.5 51313.3
25951.7 51349.7
25983.6 51328.1
26016.7 51333.3
26021.7 51366.9
25983.3 51400
25944.7 51456.4
25857.5 51441.4
25839.2 51465.3
25793.3 51409.4
25758.3 51395.8
25751.1 51449.2
25779.2 51449.7
25772.2 51483.3
25734.7 51547.5
25708.3 51591.7
25700.8 51584.7
25683.9 51505.8
25686.4 51468.9
25645.8 51450
25622.5 51454.4
25610.3 51475.3
25574.7 51486.4
25566.9 51484.7
25497.5 51485.3
25550 51433.3
25549.7 51431.9
25538.9 51408.3
25545.8 51387.5
25650 51372.2
25696.1 51260.8
25666.9 51174.4
25609.4 51092.2
25585.6 51151.4
25560.3 51158.6
25510.6 51242.2
25531.9 51304.4
25459.2 51316.7
25478.1 51362.5
25490.6 51373.6
25483.3 51383.3
25492.2 51400.3
25469.7 51397.5
25440.8 51378.1
END
DATASET: wi29.tsp
21600 14150
22583.3 14300
21600 14966.7
20833.3 17100
20900 17066.7
21600 16500
23700 15933.3
23616.7 15866.7
23883.3 14533.3
26133.3 14500
26550 13850
26433.3 13433.3
26283.3 12766.7
27026.1 13051.9
27096.1 13415.8
27153.6 13203.3
27462.5 12992.2
27433.3 12400
27233.3 11783.3
26733.3 11683.3
27233.3 10450
27266.7 10383.3
27166.7 9833.33
26150 10550
25149.2 12365.8
24166.7 13250
22683.3 12716.7
22183.3 13133.3
21300 13016.7
21600 14150
END
DATASET: uy734.tsp
32633.3 55116.7
32766.7 55433.3
32666.7 55450
32533.3 55500
32600 55583.3
32750 55650
32766.7 55633.3
32716.7 55600
32833.3 55483.3
32883.3 55516.7
32933.3 55516.7
32883.3 55416.7
32966.7 55400
